Store,Type,Size,DMA 
1,1,151315,Houston
2,1,202307,Cleveland-Akron
4,1,205863,Houston
6,1,202505,Oralando-Daytona Brach-Melbourne FL
8,1,155078,San Diego
11,1,207499,Los Angeles
13,1,219622,Los Angeles
14,1,200898,Dallas-Ft.Worth
19,1,203819,Philadelphia
20,1,203742,Tampa-St. Pete
24,1,203819,Atlanta
26,1,152513,Los Angeles
27,1,204184,Houston
28,1,206302,Dallas-Ft.Worth
31,1,203750,Atlanta
32,1,203007,Denver
33,1,39690,Atlanta
34,1,158114,Cleveland-Akron
36,1,39910,Salt Lake City
39,1,184109,Chicago
40,1,155083,Charlotte
41,1,196321,Los Angeles
3,2,37392,Denver
5,2,34875,Austin
7,2,70713,Cleveland-Akron
9,2,125833,Dallas-Ft.Worth
10,2,126512,Cleveland-Akron
12,2,112238,Chicago
15,2,123737,Denver
16,2,57197,Dallas-Ft.Worth
17,2,93188,Charlotte
18,2,120653,Los Angeles
21,2,140167,Salt Lake City
22,2,119557,Houston
23,2,114533,Philadelphia
25,2,128107,Kansas City
29,2,93638,Chicago
35,2,103681,Austin
45,2,118221,Tampa-St. Pete
30,3,42988,Los Angeles
37,3,39910,Austin
38,3,39690,Kansas City
42,3,39690,Los Angeles
43,3,41062,San Diego
44,3,39910,Atlanta
