DMA,Name,Med HHld Income,Population 18+,HHld Exp - Public Transport
807,San Francisco-Oakland-San Jose," $ 101,748 ","  6,019,614 ","  1,349 "
747,Juneau," $ 95,717 ","  24,708 ","  1,022 "
511,Washington DC," $ 95,570 ","  5,378,657 ","  1,193 "
743,Anchorage," $ 84,630 ","  340,682 ",  949 
506,Boston-Manchester," $ 83,728 ","  5,275,113 ","  1,071 "
745,Fairbanks," $ 79,804 ","  73,946 ",  887 
744,Honolulu," $ 79,293 ","  1,101,153 ",  935 
512,Baltimore," $ 78,919 ","  2,314,857 ",  982 
501,New York," $ 76,955 ","  16,778,672 ","  1,079 "
819,Seattle-Tacoma," $ 76,685 ","  4,161,290 ",  973 
825,San Diego," $ 75,397 ","  2,583,107 ",  967 
533,Hartford-New Haven," $ 73,430 ","  2,073,088 ",  927 
828,Monterey-Salinas," $ 72,307 ","  574,268 ",  943 
751,Denver," $ 72,201 ","  3,477,905 ",  937 
635,Austin," $ 71,543 ","  1,742,613 ",  905 
613,Minneapolis-St Paul," $ 71,393 ","  3,624,993 ",  907 
855,Santa Barbara-Santa Maria-San Luis Obisp," $ 71,358 ","  568,468 ",  912 
687,Minot-Bismark," $ 69,374 ","  311,501 ",  871 
584,Charlottesville," $ 69,371 ","  185,044 ",  876 
602,Chicago," $ 69,122 ","  7,362,731 ",  922 
770,Salt Lake City," $ 68,976 ","  2,286,361 ",  824 
803,Los Angeles," $ 68,945 ","  14,004,496 ",  928 
504,Philadelphia," $ 68,438 ","  6,295,603 ",  898 
111,Non-DMA Areas," $ 68,110 ","  102,531 ",  749 
820,Portland (OR)," $ 66,070 ","  2,637,166 ",  834 
623,Dallas-Fort Worth," $ 65,788 ","  5,922,749 ",  866 
862,Sacramento-Stockton-Modesto," $ 65,482 ","  3,257,693 ",  850 
633,Odessa-Midland," $ 65,291 ","  335,362 ",  832 
532,Albany-Schenectady-Troy," $ 64,495 ","  1,103,229 ",  782 
618,Houston," $ 64,432 ","  5,322,932 ",  882 
669,Madison," $ 64,030 ","  780,040 ",  801 
521,Providence-New Bedford," $ 63,909 ","  1,275,145 ",  822 
556,Richmond-Petersburg," $ 63,723 ","  1,161,567 ",  816 
766,Helena," $ 63,715 ","  54,500 ",  740 
566,Harrisburg-Lancaster-Lebanon," $ 62,954 ","  1,555,154 ",  754 
611,Rochester-Mason City-Austin," $ 62,914 ","  284,651 ",  795 
524,Atlanta," $ 62,663 ","  5,262,308 ",  817 
544,Norfolk-Newport News," $ 62,623 ","  1,520,063 ",  780 
652,Omaha," $ 62,580 ","  849,810 ",  789 
679,Des Moines-Ames," $ 61,866 ","  886,356 ",  775 
616,Kansas City," $ 61,595 ","  1,911,232 ",  781 
523,Burlington-Plattsburgh," $ 61,392 ","  674,699 ",  752 
617,Milwaukee," $ 61,133 ","  1,777,903 ",  795 
515,Cincinnati," $ 61,032 ","  1,807,107 ",  797 
767,Casper-Riverton," $ 60,864 ","  107,525 ",  783 
821,Bend," $ 60,743 ","  146,503 ",  751 
675,Peoria-Bloomington," $ 60,724 ","  484,739 ",  776 
637,Cedar Rapids-Waterloo-Iowa City-Dubuque," $ 60,723 ","  698,184 ",  758 
811,Reno," $ 60,309 ","  594,859 ",  764 
759,Cheyenne-Scotts Bluff," $ 60,212 ","  110,865 ",  732 
609,St Louis," $ 60,097 ","  2,456,274 ",  791 
500,Portland-Auburn (ME)," $ 59,700 ","  813,154 ",  730 
505,Detroit," $ 59,574 ","  3,751,712 ",  806 
535,Columbus," $ 59,330 ","  1,963,224 ",  766 
752,Colorado Springs-Pueblo," $ 59,199 ","  754,509 ",  744 
543,Springfield-Holyoke," $ 58,966 ","  552,369 ",  770 
658,Green Bay-Appleton," $ 58,740 ","  879,922 ",  723 
641,San Antonio," $ 58,649 ","  2,070,121 ",  762 
560,Raleigh-Durham," $ 58,615 ","  2,421,250 ",  762 
724,Fargo-Valley City," $ 58,311 ","  491,224 ",  739 
756,Billings," $ 58,259 ","  221,796 ",  725 
753,Phoenix," $ 58,245 ","  4,224,155 ",  760 
626,Victoria," $ 58,132 ","  67,411 ",  747 
538,Rochester (NY)," $ 58,031 ","  810,508 ",  744 
798,Glendive," $ 57,885 ","  7,726 ",  780 
725,Sioux Falls," $ 57,852 ","  520,716 ",  727 
555,Syracuse," $ 57,778 ","  784,819 ",  727 
810,Yakima-Pasco-Richland-Kennewick," $ 57,720 ","  530,987 ",  730 
519,Charleston (SC)," $ 57,674 ","  709,682 ",  745 
508,Pittsburgh," $ 57,193 ","  2,257,450 ",  749 
548,West Palm Beach-Fort Pierce," $ 56,739 ","  1,717,209 ",  814 
839,Las Vegas," $ 56,588 ","  1,719,628 ",  694 
737,Mankato," $ 56,548 ","  103,295 ",  713 
